Year	State	Resource	Revenue
2004	CO	oilgas	123717245.33
2004	CO	coal	42474432.08
2004	CO	other	14359638.35
2004	CO	minerals	-32383.90
2005	CO	oilgas	197196671.83
2005	CO	coal	39855068.97
2005	CO	other	19613274.49
2005	CO	minerals	-2106.52
2006	CO	oilgas	235359742.85
2006	CO	coal	49167915.06
2006	CO	other	24641515.91
2006	CO	minerals	-26255.00
2007	CO	oilgas	203831926.08
2007	CO	coal	50195367.07
2007	CO	other	22995290.82
2007	CO	minerals	6561.00
2008	CO	oilgas	432579865.86
2008	CO	coal	61153804.23
2008	CO	other	57560890.99
2008	CO	minerals	313480.99
2009	CO	oilgas	125974583.06
2009	CO	coal	46238748.49
2009	CO	other	39010563.22
2009	CO	minerals	-142029.00
2010	CO	oilgas	196454126.98
2010	CO	coal	62182004.59
2010	CO	other	42604687.34
2010	CO	minerals	20079.00
2011	CO	oilgas	209687770.74
2011	CO	renewables	32800.00
2011	CO	other	50258135.66
2011	CO	coal	62655417.71
2011	CO	minerals	34450.00
2012	CO	oilgas	187327008.63
2012	CO	other	61766595.86
2012	CO	coal	56040182.30
2012	CO	renewables	33416.00
2012	CO	minerals	27093.00
2013	CO	oilgas	208071041.84
2013	CO	renewables	28262.00
2013	CO	other	62748536.14
2013	CO	coal	28694452.23
2013	CO	minerals	26198.00