Company	Type	Government Reported	Company Reported	Variance Dollars	Variance Percent
Alpha Natural Resources, Inc.	Royalties	29672103	29672103	0	0
Alpha Natural Resources, Inc.	Rents	38796	38796	0	0
Alpha Natural Resources, Inc.	Bonus	42129612	42129612	0	0
Alpha Natural Resources, Inc.	Other Revenue	0	0	0	0
Alpha Natural Resources, Inc.	Offshore Inspection Fee	0	0	0	0
Alpha Natural Resources, Inc.	ONRR Civil Penalties	0	0	0	0
Alpha Natural Resources, Inc.	Bonus & 1st Year Rental	0	0	0	0
Alpha Natural Resources, Inc.	Permit Fees	50749	50749	0	0
Alpha Natural Resources, Inc.	Renewables	0	0	0	0
Alpha Natural Resources, Inc.	AML Fees	19128754	19322861	-194107	1
Alpha Natural Resources, Inc.	OSMRE Civil Penalties	0	0	0	0
Alpha Natural Resources, Inc.	Corporate Income Tax	0	did not report	N/A	N/A
Anadarko Petroleum Corporation	Royalties	384154902	382748703	1406199	0.4
Anadarko Petroleum Corporation	Rents	19860986	20252345	-391359	2
Anadarko Petroleum Corporation	Bonus	49651028	49808312	-157284	0.3
Anadarko Petroleum Corporation	Other Revenue	3159531	3143781	15750	0.5
Anadarko Petroleum Corporation	Offshore Inspection Fee	2213500	2122000	91500	4.1
Anadarko Petroleum Corporation	ONRR Civil Penalties	50000	50000	0	0
Anadarko Petroleum Corporation	Bonus & 1st Year Rental	268065	267723	342	0.1
Anadarko Petroleum Corporation	Permit Fees	2696255	2704823	-8568	0.3
Anadarko Petroleum Corporation	Renewables	0	0	0	0
Anadarko Petroleum Corporation	AML Fees	0	0	0	0
Anadarko Petroleum Corporation	OSMRE Civil Penalties	0	0	0	0
Anadarko Petroleum Corporation	Corporate Income Tax	0	did not report	N/A	N/A
ANKOR Energy LLC	Royalties	58091785	56708700	1383085	2.4
ANKOR Energy LLC	Rents	177490	193970	-16480	9
ANKOR Energy LLC	Bonus	0	0	0	0
ANKOR Energy LLC	Other Revenue	-12222	-19657	7435	60.8
ANKOR Energy LLC	Offshore Inspection Fee	1049300	1049300	0	0
ANKOR Energy LLC	ONRR Civil Penalties	0	0	0	0
ANKOR Energy LLC	Bonus & 1st Year Rental	0	0	0	0
ANKOR Energy LLC	Permit Fees	0	0	0	0
ANKOR Energy LLC	Renewables	0	0	0	0
ANKOR Energy LLC	AML Fees	0	0	0	0
ANKOR Energy LLC	OSMRE Civil Penalties	0	0	0	0
ANKOR Energy LLC	Corporate Income Tax	0	N/A	N/A	N/A
Apache Corporation	Royalties	438589423	did not participate	N/A	N/A
Apache Corporation	Rents	3500972	did not participate	N/A	N/A
Apache Corporation	Bonus	33478000	did not participate	N/A	N/A
Apache Corporation	Other Revenue	2595866	did not participate	N/A	N/A
Apache Corporation	Offshore Inspection Fee	122000	did not participate	N/A	N/A
Apache Corporation	ONRR Civil Penalties	0	did not participate	N/A	N/A
Apache Corporation	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
Apache Corporation	Permit Fees	450253	did not participate	N/A	N/A
Apache Corporation	Renewables	0	did not participate	N/A	N/A
Apache Corporation	AML Fees	0	did not participate	N/A	N/A
Apache Corporation	OSMRE Civil Penalties	0	did not participate	N/A	N/A
Apache Corporation	Corporate Income Tax	0	did not participate	N/A	N/A
Arch Coal, Inc.	Royalties	182167078	182167078	0	0
Arch Coal, Inc.	Rents	232049	250989	-18940	8
Arch Coal, Inc.	Bonus	60000202	60000202	0	0
Arch Coal, Inc.	Other Revenue	3583453	3583453	0	0
Arch Coal, Inc.	Offshore Inspection Fee	0	0	0	0
Arch Coal, Inc.	ONRR Civil Penalties	0	0	0	0
Arch Coal, Inc.	Bonus & 1st Year Rental	440313	440313	0	0
Arch Coal, Inc.	Permit Fees	734	734	0	0
Arch Coal, Inc.	Renewables	0	0	0	0
Arch Coal, Inc.	AML Fees	34025339	34025339	0	0
Arch Coal, Inc.	OSMRE Civil Penalties	0	0	0	0
Arch Coal, Inc.	Corporate Income Tax	0	did not report	N/A	N/A
Arena Energy, LLC	Royalties	85536515	85549962	-13447	0
Arena Energy, LLC	Rents	1182340	1180362	1978	0
Arena Energy, LLC	Bonus	1307000	1307000	0	0
Arena Energy, LLC	Other Revenue	81422	81908	-486	0.6
Arena Energy, LLC	Offshore Inspection Fee	2030000	2030000	0	0
Arena Energy, LLC	ONRR Civil Penalties	90000	90000	0	0
Arena Energy, LLC	Bonus & 1st Year Rental	0	0	0	0
Arena Energy, LLC	Permit Fees	0	0	0	0
Arena Energy, LLC	Renewables	0	0	0	0
Arena Energy, LLC	AML Fees	0	0	0	0
Arena Energy, LLC	OSMRE Civil Penalties	0	0	0	0
Arena Energy, LLC	Corporate Income Tax	0	N/A	N/A	N/A
BHP Billiton LTD	Royalties	290943513	290876410	67103	0
BHP Billiton LTD	Rents	11531065	11715699	-184634	2
BHP Billiton LTD	Bonus	121705398	123566486	-1861088	1.5
BHP Billiton LTD	Other Revenue	190198	192928	-2730	1.4
BHP Billiton LTD	Offshore Inspection Fee	505980	506128	-148	0
BHP Billiton LTD	ONRR Civil Penalties	0	0	0	0
BHP Billiton LTD	Bonus & 1st Year Rental	0	0	0	0
BHP Billiton LTD	Permit Fees	92644	92644	0	0
BHP Billiton LTD	Renewables	0	0	0	0
BHP Billiton LTD	AML Fees	2895555	2895555	0	0
BHP Billiton LTD	OSMRE Civil Penalties	0	0	0	0
BHP Billiton LTD	Corporate Income Tax	0	did not report	N/A	N/A
BOPCO, LP	Royalties	78674576	did not participate	N/A	N/A
BOPCO, LP	Rents	52115	did not participate	N/A	N/A
BOPCO, LP	Bonus	0	did not participate	N/A	N/A
BOPCO, LP	Other Revenue	32680	did not participate	N/A	N/A
BOPCO, LP	Offshore Inspection Fee	0	did not participate	N/A	N/A
BOPCO, LP	ONRR Civil Penalties	0	did not participate	N/A	N/A
BOPCO, LP	Bonus & 1st Year Rental	6432000	did not participate	N/A	N/A
BOPCO, LP	Permit Fees	378214	did not participate	N/A	N/A
BOPCO, LP	Renewables	0	did not participate	N/A	N/A
BOPCO, LP	AML Fees	0	did not participate	N/A	N/A
BOPCO, LP	OSMRE Civil Penalties	0	did not participate	N/A	N/A
BOPCO, LP	Corporate Income Tax	0	did not participate	N/A	N/A
BP America	Royalties	847156065	847036243	119822	0
BP America	Rents	25739425	25199393	540032	2
BP America	Bonus	0	0	0	0
BP America	Other Revenue	3004327	2943014	61313	2
BP America	Offshore Inspection Fee	1944000	1944000	0	0
BP America	ONRR Civil Penalties	60000	60000	0	0
BP America	Bonus & 1st Year Rental	0	0	0	0
BP America	Permit Fees	130935	130500	435	0.3
BP America	Renewables	0	0	0	0
BP America	AML Fees	0	0	0	0
BP America	OSMRE Civil Penalties	0	0	0	0
BP America	Corporate Income Tax	85000000	85000000	0	0
Chevron Corporation	Royalties	827397767	772842106	54555661	6.6
Chevron Corporation	Rents	19149064	19003698	145366	1
Chevron Corporation	Bonus	101636143	101636143	0	0
Chevron Corporation	Other Revenue	3164566	3158448	6118	0.2
Chevron Corporation	Offshore Inspection Fee	7394900	7364400	30500	0.4
Chevron Corporation	ONRR Civil Penalties	40000	40000	0	0
Chevron Corporation	Bonus & 1st Year Rental	0	0	0	0
Chevron Corporation	Permit Fees	218878	215043	3835	1.8
Chevron Corporation	Renewables	0	0	0	0
Chevron Corporation	AML Fees	0	0	0	0
Chevron Corporation	OSMRE Civil Penalties	13680	13680	0	0
Chevron Corporation	Corporate Income Tax	0	did not report	N/A	N/A
Cimarex Energy Co.	Royalties	67020156	67020148	8	0
Cimarex Energy Co.	Rents	45254	47972	-2718	6
Cimarex Energy Co.	Bonus	0	0	0	0
Cimarex Energy Co.	Other Revenue	3711779	3712145	-366	0
Cimarex Energy Co.	Offshore Inspection Fee	134800	134800	0	0
Cimarex Energy Co.	ONRR Civil Penalties	327450	327450	0	0
Cimarex Energy Co.	Bonus & 1st Year Rental	8266400	8268117	-1717	0
Cimarex Energy Co.	Permit Fees	1075805	1121342	-45537	4.23
Cimarex Energy Co.	Renewables	0	0	0	0
Cimarex Energy Co.	AML Fees	0	0	0	0
Cimarex Energy Co.	OSMRE Civil Penalties	0	0	0	0
Cimarex Energy Co.	Corporate Income Tax	-427025	-427025	0	0
Cloud Peak Energy Resources, LLC	Royalties	120674727	120674728	-1	0
Cloud Peak Energy Resources, LLC	Rents	100997	104484	-3487	3
Cloud Peak Energy Resources, LLC	Bonus	79026630	79026631	-1	0
Cloud Peak Energy Resources, LLC	Other Revenue	214	0	214	100
Cloud Peak Energy Resources, LLC	Offshore Inspection Fee	0	0	0	0
Cloud Peak Energy Resources, LLC	ONRR Civil Penalties	0	0	0	0
Cloud Peak Energy Resources, LLC	Bonus & 1st Year Rental	0	3614	-3614	100
Cloud Peak Energy Resources, LLC	Permit Fees	222366	218752	3614	1.6
Cloud Peak Energy Resources, LLC	Renewables	0	0	0	0
Cloud Peak Energy Resources, LLC	AML Fees	24335853	24335853	0	0
Cloud Peak Energy Resources, LLC	OSMRE Civil Penalties	0	0	0	0
Cloud Peak Energy Resources, LLC	Corporate Income Tax	9500000	9500000	0	0
Cobalt International Energy, Inc.	Royalties	0	0	0	0
Cobalt International Energy, Inc.	Rents	9848675	9958115	-109440	1
Cobalt International Energy, Inc.	Bonus	54536650	54536650	0	0
Cobalt International Energy, Inc.	Other Revenue	0	0	0	0
Cobalt International Energy, Inc.	Offshore Inspection Fee	335500	335500	0	0
Cobalt International Energy, Inc.	ONRR Civil Penalties	0	0	0	0
Cobalt International Energy, Inc.	Bonus & 1st Year Rental	0	0	0	0
Cobalt International Energy, Inc.	Permit Fees	0	0	0	0
Cobalt International Energy, Inc.	Renewables	0	0	0	0
Cobalt International Energy, Inc.	AML Fees	0	0	0	0
Cobalt International Energy, Inc.	OSMRE Civil Penalties	0	0	0	0
Cobalt International Energy, Inc.	Corporate Income Tax	0	did not report	N/A	N/A
Concho Resources, Inc.	Royalties	89435693	did not participate	N/A	N/A
Concho Resources, Inc.	Rents	100167	did not participate	N/A	N/A
Concho Resources, Inc.	Bonus	0	did not participate	N/A	N/A
Concho Resources, Inc.	Other Revenue	-108215	did not participate	N/A	N/A
Concho Resources, Inc.	Offshore Inspection Fee	0	did not participate	N/A	N/A
Concho Resources, Inc.	ONRR Civil Penalties	0	did not participate	N/A	N/A
Concho Resources, Inc.	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
Concho Resources, Inc.	Permit Fees	887802	did not participate	N/A	N/A
Concho Resources, Inc.	Renewables	0	did not participate	N/A	N/A
Concho Resources, Inc.	AML Fees	0	did not participate	N/A	N/A
Concho Resources, Inc.	OSMRE Civil Penalties	0	did not participate	N/A	N/A
Concho Resources, Inc.	Corporate Income Tax	0	did not participate	N/A	N/A
ConocoPhillips	Royalties	261150468	262682834	-1532366	0.6
ConocoPhillips	Rents	24411479	24609486	-198007	1
ConocoPhillips	Bonus	131941971	131781972	159999	0.1
ConocoPhillips	Other Revenue	2632282	2914786	-282504	10.7
ConocoPhillips	Offshore Inspection Fee	322000	352500	-30500	9.5
ConocoPhillips	ONRR Civil Penalties	0	0	0	0
ConocoPhillips	Bonus & 1st Year Rental	117347	117347	0	0
ConocoPhillips	Permit Fees	659300	851500	-192200	29.2
ConocoPhillips	Renewables	0	0	0	0
ConocoPhillips	AML Fees	0	0	0	0
ConocoPhillips	OSMRE Civil Penalties	0	0	0	0
ConocoPhillips	Corporate Income Tax	0	did not report	N/A	N/A
Continental Resources, Inc.	Royalties	25752648	did not participate	N/A	N/A
Continental Resources, Inc.	Rents	96131	did not participate	N/A	N/A
Continental Resources, Inc.	Bonus	0	did not participate	N/A	N/A
Continental Resources, Inc.	Other Revenue	29792	did not participate	N/A	N/A
Continental Resources, Inc.	Offshore Inspection Fee	0	did not participate	N/A	N/A
Continental Resources, Inc.	ONRR Civil Penalties	0	did not participate	N/A	N/A
Continental Resources, Inc.	Bonus & 1st Year Rental	26499990	did not participate	N/A	N/A
Continental Resources, Inc.	Permit Fees	303460	did not participate	N/A	N/A
Continental Resources, Inc.	Renewables	0	did not participate	N/A	N/A
Continental Resources, Inc.	AML Fees	0	did not participate	N/A	N/A
Continental Resources, Inc.	OSMRE Civil Penalties	0	did not participate	N/A	N/A
Continental Resources, Inc.	Corporate Income Tax	0	did not participate	N/A	N/A
Devon Energy Corporation	Royalties	122680600	122554109	126491	0.1
Devon Energy Corporation	Rents	370479	379276	-8797	2
Devon Energy Corporation	Bonus	0	0	0	0
Devon Energy Corporation	Other Revenue	2580410	2504376	76034	3
Devon Energy Corporation	Offshore Inspection Fee	0	0	0	0
Devon Energy Corporation	ONRR Civil Penalties	0	0	0	0
Devon Energy Corporation	Bonus & 1st Year Rental	10889200	10889200	0	0
Devon Energy Corporation	Permit Fees	1605762	1602291	3471	0.2
Devon Energy Corporation	Renewables	0	0	0	0
Devon Energy Corporation	AML Fees	0	0	0	0
Devon Energy Corporation	OSMRE Civil Penalties	0	0	0	0
Devon Energy Corporation	Corporate Income Tax	0	did not report	N/A	N/A
Encana Corporation	Royalties	158698597	did not participate	N/A	N/A
Encana Corporation	Rents	960140	did not participate	N/A	N/A
Encana Corporation	Bonus	0	did not participate	N/A	N/A
Encana Corporation	Other Revenue	4280944	did not participate	N/A	N/A
Encana Corporation	Offshore Inspection Fee	0	did not participate	N/A	N/A
Encana Corporation	ONRR Civil Penalties	0	did not participate	N/A	N/A
Encana Corporation	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
Encana Corporation	Permit Fees	2041480	did not participate	N/A	N/A
Encana Corporation	Renewables	0	did not participate	N/A	N/A
Encana Corporation	AML Fees	0	did not participate	N/A	N/A
Encana Corporation	OSMRE Civil Penalties	0	did not participate	N/A	N/A
Encana Corporation	Corporate Income Tax	0	did not participate	N/A	N/A
Energy XXI	Royalties	206116211	206116211	0	0
Energy XXI	Rents	195740	185978	9762	5
Energy XXI	Bonus	302242	302242	0	0
Energy XXI	Other Revenue	1984809	1954584	30225	1.5
Energy XXI	Offshore Inspection Fee	684700	684700	0	0
Energy XXI	ONRR Civil Penalties	40000	40000	0	0
Energy XXI	Bonus & 1st Year Rental	0	0	0	0
Energy XXI	Permit Fees	0	0	0	0
Energy XXI	Renewables	0	0	0	0
Energy XXI	AML Fees	0	0	0	0
Energy XXI	OSMRE Civil Penalties	0	0	0	0
Energy XXI	Corporate Income Tax	0	did not report	N/A	N/A
EPL Oil & Gas, Inc.	Royalties	106133424	105996710	136714	0.1
EPL Oil & Gas, Inc.	Rents	378149	349766	28383	8
EPL Oil & Gas, Inc.	Bonus	2143100	2205358	-62258	2.9
EPL Oil & Gas, Inc.	Other Revenue	2099041	2115823	-16782	0.8
EPL Oil & Gas, Inc.	Offshore Inspection Fee	588400	605100	-16700	2.8
EPL Oil & Gas, Inc.	ONRR Civil Penalties	33000	33000	0	0
EPL Oil & Gas, Inc.	Bonus & 1st Year Rental	0	0	0	0
EPL Oil & Gas, Inc.	Permit Fees	0	0	0	0
EPL Oil & Gas, Inc.	Renewables	0	0	0	0
EPL Oil & Gas, Inc.	AML Fees	0	0	0	0
EPL Oil & Gas, Inc.	OSMRE Civil Penalties	0	0	0	0
EPL Oil & Gas, Inc.	Corporate Income Tax	N/A	196424	NaN	N/A
ENI Petroleum	Royalties	105748539	105748539	0	0
ENI Petroleum	Rents	6765903	6765903	0	0
ENI Petroleum	Bonus	4023000	4023000	0	0
ENI Petroleum	Other Revenue	-803695	-803695	0	0
ENI Petroleum	Offshore Inspection Fee	1185500	1185500	0	0
ENI Petroleum	ONRR Civil Penalties	0	0	0	0
ENI Petroleum	Bonus & 1st Year Rental	0	0	0	0
ENI Petroleum	Permit Fees	0	0	0	0
ENI Petroleum	Renewables	0	0	0	0
ENI Petroleum	AML Fees	0	0	0	0
ENI Petroleum	OSMRE Civil Penalties	0	0	0	0
ENI Petroleum	Corporate Income Tax	N/A	19674	NaN	N/A
EOG Resources, Inc.	Royalties	92398882	did not participate	N/A	N/A
EOG Resources, Inc.	Rents	500155	did not participate	N/A	N/A
EOG Resources, Inc.	Bonus	0	did not participate	N/A	N/A
EOG Resources, Inc.	Other Revenue	797477	did not participate	N/A	N/A
EOG Resources, Inc.	Offshore Inspection Fee	10500	did not participate	N/A	N/A
EOG Resources, Inc.	ONRR Civil Penalties	0	did not participate	N/A	N/A
EOG Resources, Inc.	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
EOG Resources, Inc.	Permit Fees	809140	did not participate	N/A	N/A
EOG Resources, Inc.	Renewables	0	did not participate	N/A	N/A
EOG Resources, Inc.	AML Fees	0	did not participate	N/A	N/A
EOG Resources, Inc.	OSMRE Civil Penalties	0	did not participate	N/A	N/A
EOG Resources, Inc.	Corporate Income Tax	0	did not participate	N/A	N/A
Exxon Mobil Corporation	Royalties	474509808	474364629	145179	0
Exxon Mobil Corporation	Rents	16978503	17005977	-27474	0
Exxon Mobil Corporation	Bonus	226166445	224984045	1182400	0.5
Exxon Mobil Corporation	Other Revenue	24422341	13190341	11232000	46
Exxon Mobil Corporation	Offshore Inspection Fee	850000	839500	10500	1.2
Exxon Mobil Corporation	ONRR Civil Penalties	0	0	0	0
Exxon Mobil Corporation	Bonus & 1st Year Rental	903700	903700	0	0
Exxon Mobil Corporation	Permit Fees	910679	887250	23429	2.6
Exxon Mobil Corporation	Renewables	0	0	0	0
